,accuracy,average_precision,f1,f1_macro,neg_log_loss,precision,recall,roc_auc
Neural Net,0.620350139514,0.728691349591,0.688477758067,0.587658385052,-0.64163025148,0.650687761959,0.739919517103,0.664559278749
Extra trees,0.607433908157,0.731019189231,0.689128458824,0.577222244398,-0.642201510639,0.63238609606,0.758370221328,0.66418695044
K-nn with 10 neighbors and 30 leafs,0.497773901192,0.656071021414,0.515404213839,0.490544837231,-13.8571967899,0.606215355234,0.516861167002,0.574852248469
SVM with sigmoid,0.593513347349,0.713540923162,0.628050607695,0.589063411693,-0.850685544492,0.661674735817,0.599758551308,0.639282684496
SVM with rbf kernel,0.600096413048,0.693999988155,0.646269890681,0.59253283847,-8.1119942735,0.657604761395,0.636680080483,0.591589471517
SGD Classifier,0.592012442335,0.686377911728,0.643442014527,0.58181691557,-0.665932903773,0.647230722976,0.642293762575,0.614457558121
Non-linear SVM,0.603289544397,0.727770876074,0.679546232514,0.578006786905,-0.643789875386,0.635037899418,0.732837022133,0.66292712005
Gradient Boosting,0.609007149828,0.73905290795,0.698781446929,0.569387456658,-0.640351488303,0.626893966114,0.790865191147,0.67205865819
Logistic Regression,0.676403847063,0.786675948975,0.729287102465,0.662519580985,-0.600813254901,0.704314416836,0.758169014085,0.734953239028
SVM with linear kernel,0.6146390906,0.699061788331,0.677290049953,0.591032748384,-0.706066200539,0.657823070143,0.710503018109,0.642922203029
