,accuracy,average_precision,f1,f1_macro,neg_log_loss,precision,recall,roc_auc
Neural Net,0.704861496262,0.824610138563,0.750831537867,0.683770415442,-0.558484116723,0.732661118036,0.808162100457,0.76991688677
Extra trees,0.701609356257,0.826188051539,0.760173821435,0.681286018705,-0.55545929132,0.72173386981,0.805308219178,0.77440285985
K-nn with 10 neighbors and 30 leafs,0.652119367307,0.811618628184,0.667702578615,0.448507464085,-10.5895745245,0.760968686194,0.611834094368,0.733297169248
SVM with sigmoid,0.701603122192,0.798698997456,0.743880389209,0.69233750554,-0.956337417783,0.749718365378,0.740372907154,0.740838391978
SVM with rbf kernel,0.62934062934,0.762049120342,0.673463836865,0.621579160641,-6.80012800525,0.69655921196,0.653500761035,0.65786964291
SGD Classifier,0.525819349679,0.654670696089,0.568861387677,0.515634113795,-0.814819731761,0.608203477582,0.542713089802,0.549769216134
Non-linear SVM,0.704074929168,0.825969432848,0.761531939464,0.684473715412,-0.555238020697,0.7252152045,0.80395738204,0.774345841914
Gradient Boosting,0.708940079882,0.823930013915,0.771523335707,0.683919865881,-0.560844828032,0.717066123526,0.837081430746,0.772706729191
Logistic Regression,0.682968962952,0.812046287143,0.743634774901,0.662491772309,-0.580383513,0.710289890295,0.783219178082,0.752531967201
SVM with linear kernel,0.58862261547,0.794311307735,0.741046224695,0.370523112347,-0.677357431762,0.58862261547,1.0,0.5
