,accuracy_score,f1_score,matthews_corrcoef,mean_squared_error,precision_score,recall_score,zero_one_loss
Neural Net,0.630990415335,0.695652173913,0.228860250332,0.369009584665,0.675191815857,0.717391304348,0.369009584665
Extra trees,0.659744408946,0.699576868829,0.309812934304,0.340255591054,0.727272727273,0.673913043478,0.340255591054
K-nn with 10 neighbors and 30 leafs,0.662939297125,0.704067321178,0.31442803159,0.337060702875,0.727536231884,0.682065217391,0.337060702875
SVM with sigmoid,0.661341853035,0.730964467005,0.283866412615,0.338658146965,0.685714285714,0.782608695652,0.338658146965
SVM with rbf kernel,0.67731629393,0.751842751843,0.31416420164,0.32268370607,0.686098654709,0.83152173913,0.32268370607
SGD Classifier,0.570287539936,0.593040847201,0.154518216779,0.429712460064,0.668941979522,0.532608695652,0.429712460064
Non-linear SVM,0.607028753994,0.676315789474,0.178157065908,0.392971246006,0.655612244898,0.698369565217,0.392971246006
Gradient Boosting,0.674121405751,0.72654155496,0.323736725889,0.325878594249,0.716931216931,0.736413043478,0.325878594249
Logistic Regression,0.651757188498,0.713910761155,0.271363357453,0.348242811502,0.690355329949,0.739130434783,0.348242811502
SVM with linear kernel,0.648562300319,0.713541666667,0.262553019448,0.351437699681,0.685,0.744565217391,0.351437699681
