,accuracy_score,f1_score,matthews_corrcoef,mean_squared_error,precision_score,recall_score,zero_one_loss
Neural Net,0.621405750799,0.674002751032,0.222836221319,0.378594249201,0.682451253482,0.665760869565,0.378594249201
Extra trees,0.630990415335,0.673267326733,0.252165915557,0.369009584665,0.702064896755,0.646739130435,0.369009584665
K-nn with 10 neighbors and 30 leafs,0.632587859425,0.684065934066,0.2453458151,0.367412140575,0.691666666667,0.676630434783,0.367412140575
SVM with sigmoid,0.662939297125,0.728442728443,0.290273066093,0.337060702875,0.691931540342,0.76902173913,0.337060702875
SVM with rbf kernel,0.670926517572,0.737913486005,0.305054181188,0.329073482428,0.693779904306,0.788043478261,0.329073482428
SGD Classifier,0.546325878594,0.588405797101,0.0890204981507,0.453674121406,0.630434782609,0.551630434783,0.453674121406
Non-linear SVM,0.611821086262,0.673825503356,0.194794916151,0.388178913738,0.665782493369,0.682065217391,0.388178913738
Gradient Boosting,0.669329073482,0.725099601594,0.311299079423,0.330670926518,0.709090909091,0.741847826087,0.330670926518
Logistic Regression,0.662939297125,0.722733245729,0.295212748054,0.337060702875,0.699745547074,0.747282608696,0.337060702875
SVM with linear kernel,0.648562300319,0.724310776942,0.253473240184,0.351437699681,0.672093023256,0.785326086957,0.351437699681
