,accuracy_score,f1_score,matthews_corrcoef,mean_squared_error,precision_score,recall_score,zero_one_loss
Neural Net,0.638211382114,0.696245733788,0.250201522875,0.361788617886,0.679094540613,0.714285714286,0.361788617886
Extra trees,0.60406504065,0.661099512874,0.185114576594,0.39593495935,0.656984785615,0.665266106443,0.39593495935
K-nn with 10 neighbors and 30 leafs,0.630081300813,0.672426205904,0.248875161251,0.369918699187,0.691851851852,0.65406162465,0.369918699187
SVM with sigmoid,0.630894308943,0.734502923977,0.20918020295,0.369105691057,0.630522088353,0.879551820728,0.369105691057
SVM with rbf kernel,0.641463414634,0.73640167364,0.235766015089,0.358536585366,0.642335766423,0.862745098039,0.358536585366
SGD Classifier,0.549593495935,0.614742698192,0.0727416193356,0.450406504065,0.610497237569,0.619047619048,0.450406504065
Non-linear SVM,0.60162601626,0.656381486676,0.182496906054,0.39837398374,0.657303370787,0.655462184874,0.39837398374
Gradient Boosting,0.655284552846,0.710777626194,0.285513785396,0.344715447154,0.692819148936,0.729691876751,0.344715447154
Logistic Regression,0.613821138211,0.694533762058,0.183556557419,0.386178861789,0.64209274673,0.756302521008,0.386178861789
SVM with linear kernel,0.639837398374,0.726711906231,0.233985701399,0.360162601626,0.649393605292,0.824929971989,0.360162601626
