,accuracy_score,f1_score,matthews_corrcoef,mean_squared_error,precision_score,recall_score,zero_one_loss
Neural Net,0.639024390244,0.70281124498,0.247020016946,0.360975609756,0.673076923077,0.735294117647,0.360975609756
Extra trees,0.605691056911,0.660601819454,0.190185563426,0.394308943089,0.66013986014,0.66106442577,0.394308943089
K-nn with 10 neighbors and 30 leafs,0.628455284553,0.665691294806,0.250706514692,0.371544715447,0.696784073507,0.637254901961,0.371544715447
SVM with sigmoid,0.612195121951,0.727272727273,0.158754538029,0.387804878049,0.614492753623,0.890756302521,0.387804878049
SVM with rbf kernel,0.640650406504,0.738770685579,0.233822692292,0.359349593496,0.639059304703,0.875350140056,0.359349593496
SGD Classifier,0.527642276423,0.576221735959,0.0449813734426,0.472357723577,0.601217656012,0.553221288515,0.472357723577
Non-linear SVM,0.584552845528,0.645876645877,0.143595131477,0.415447154472,0.639231824417,0.652661064426,0.415447154472
Gradient Boosting,0.654471544715,0.70950102529,0.284318601314,0.345528455285,0.692923898531,0.726890756303,0.345528455285
Logistic Regression,0.630894308943,0.70822622108,0.220624602703,0.369105691057,0.654394299287,0.771708683473,0.369105691057
SVM with linear kernel,0.632520325203,0.720297029703,0.217572404427,0.367479674797,0.645232815965,0.81512605042,0.367479674797
