,accuracy_score,f1_score,matthews_corrcoef,mean_squared_error,precision_score,recall_score,zero_one_loss
Neural Net,0.685365853659,0.724946695096,0.357470723221,0.314634146341,0.728571428571,0.721357850071,0.314634146341
Extra trees,0.606504065041,0.655270655271,0.197018601184,0.393495934959,0.659971305595,0.650636492221,0.393495934959
K-nn with 10 neighbors and 30 leafs,0.658536585366,0.688888888889,0.314119071208,0.341463414634,0.723172628305,0.657708628006,0.341463414634
SVM with sigmoid,0.694308943089,0.744565217391,0.367229507058,0.305691056911,0.716339869281,0.775106082037,0.305691056911
SVM with rbf kernel,0.691869918699,0.741649625085,0.362659562935,0.308130081301,0.715789473684,0.769448373409,0.308130081301
SGD Classifier,0.638211382114,0.668158090977,0.275025684178,0.361788617886,0.706624605678,0.633663366337,0.361788617886
Non-linear SVM,0.542276422764,0.600992204111,0.0642970722954,0.457723577236,0.602272727273,0.599717114569,0.457723577236
Gradient Boosting,0.678048780488,0.729508196721,0.334248531986,0.321951219512,0.705416116248,0.755304101839,0.321951219512
Logistic Regression,0.70325203252,0.752877454299,0.385441297415,0.29674796748,0.722077922078,0.786421499293,0.29674796748
SVM with linear kernel,0.69918699187,0.74795640327,0.377790385879,0.30081300813,0.721419185283,0.776520509194,0.30081300813
