,accuracy_score,f1_score,matthews_corrcoef,mean_squared_error,precision_score,recall_score,zero_one_loss
Neural Net,0.670731707317,0.734077478661,0.307145600873,0.329268292683,0.699624530663,0.772099447514,0.329268292683
Extra trees,0.621138211382,0.681693989071,0.214038469327,0.378861788618,0.674324324324,0.689226519337,0.378861788618
K-nn with 10 neighbors and 30 leafs,0.657723577236,0.709855272226,0.29261854152,0.342276422764,0.708390646492,0.711325966851,0.342276422764
SVM with sigmoid,0.69837398374,0.763241863433,0.362174831796,0.30162601626,0.709371293001,0.825966850829,0.30162601626
SVM with rbf kernel,0.693495934959,0.75910543131,0.351642765999,0.306504065041,0.706302021403,0.82044198895,0.306504065041
SGD Classifier,0.626829268293,0.682791983414,0.229683256873,0.373170731707,0.68326417704,0.682320441989,0.373170731707
Non-linear SVM,0.635772357724,0.698519515478,0.23981921079,0.364227642276,0.681102362205,0.716850828729,0.364227642276
Gradient Boosting,0.673170731707,0.735873850197,0.312480471041,0.326829268293,0.701754385965,0.773480662983,0.326829268293
Logistic Regression,0.689430894309,0.747354497354,0.348364777175,0.310569105691,0.717005076142,0.780386740331,0.310569105691
SVM with linear kernel,0.691869918699,0.753415744958,0.35060090119,0.308130081301,0.712177121771,0.799723756906,0.308130081301
